State,date,cases,deaths,population,p_cases,p_deaths,diff,p_diff,d_diff,p.d_diff
SD,2021-05-13T00:00:00Z,123599,1989,884659,13971.372020179526,224.83239304636024,81,9.156070305054527,1,0.1130379050006809
SD,2021-05-14T00:00:00Z,123644,1991,884659,13976.458725904558,225.05846885636163,45,5.086705725032516,2,0.2260758100013902
SD,2021-05-15T00:00:00Z,123644,1991,884659,13976.458725904558,225.05846885636163,0,0,0,0
SD,2021-05-16T00:00:00Z,123644,1991,884659,13976.458725904558,225.05846885636163,0,0,0,0
SD,2021-05-17T00:00:00Z,123686,1993,884659,13981.206317914584,225.28454466636296,42,4.747592010025983,2,0.22607581000133337
SD,2021-05-18T00:00:00Z,123784,1994,884659,13992.284032604653,225.39758257136364,98,11.077714690069115,1,0.1130379050006809
SD,2021-05-19T00:00:00Z,123822,1994,884659,13996.579472994681,225.39758257136364,38,4.295440390027579,0,0
SD,2021-05-20T00:00:00Z,123877,2001,884659,14002.796557769718,226.1888479063684,55,6.21708477503671,7,0.7912653350047663
SD,2021-05-21T00:00:00Z,123911,2001,884659,14006.63984653974,226.1888479063684,34,3.8432887700219,0,0
SD,2021-05-22T00:00:00Z,123911,2001,884659,14006.63984653974,226.1888479063684,0,0,0,0
SD,2021-05-23T00:00:00Z,123911,2001,884659,14006.63984653974,226.1888479063684,0,0,0,0
SD,2021-05-24T00:00:00Z,123942,2004,884659,14010.144021594762,226.52796162137048,31,3.5041750550226425,3,0.3391137150020711
SD,2021-05-25T00:00:00Z,124023,2004,884659,14019.300091899817,226.52796162137048,81,9.156070305054527,0,0
SD,2021-05-26T00:00:00Z,124071,2004,884659,14024.72591133985,226.52796162137048,48,5.425819440033592,0,0
SD,2021-05-27T00:00:00Z,124105,2004,884659,14028.569200109872,226.52796162137048,34,3.8432887700219,0,0
SD,2021-05-28T00:00:00Z,124162,2010,884659,14035.012360694913,227.20618905137457,57,6.443160585040459,6,0.6782274300040854
SD,2021-05-29T00:00:00Z,124162,2010,884659,14035.012360694913,227.20618905137457,0,0,0,0
SD,2021-05-30T00:00:00Z,124193,2010,884659,14038.516535749934,227.20618905137457,31,3.5041750550208235,0,0
SD,2021-05-31T00:00:00Z,124193,2010,884659,14038.516535749934,227.20618905137457,0,0,0,0
SD,2021-06-01T00:00:00Z,124191,2014,884659,14038.290459939932,227.65834067137735,-2,-0.22607581000193022,4,0.4521516200027804
SD,2021-06-02T00:00:00Z,124227,2019,884659,14042.359824519957,228.22353019638072,36,4.069364580025649,5,0.565189525003376
SD,2021-06-03T00:00:00Z,124242,2020,884659,14044.055393094968,228.33656810138143,15,1.6955685750108387,1,0.11303790500070932
SD,2021-06-04T00:00:00Z,124261,2022,884659,14046.20311328998,228.5626439113828,19,2.147720195011061,2,0.2260758100013618
SD,2021-06-05T00:00:00Z,124261,2022,884659,14046.20311328998,228.5626439113828,0,0,0,0
SD,2021-06-06T00:00:00Z,124261,2022,884659,14046.20311328998,228.5626439113828,0,0,0,0
SD,2021-06-07T00:00:00Z,124273,2022,884659,14047.559568149987,228.5626439113828,12,1.3564548600079434,0,0
