County,date,cases,Region,Color,log_cases,Population,p_cases,log_p_cases
Franklin,2020-07-02T00:00:00Z,32,North Country,#dcc8dc,1.505149978319906,50692,63.126331571056575,1.8002105521225655
Fulton,2020-07-02T00:00:00Z,260,Mohawk Valley,#ffff00,2.4149733479708178,53743,483.78393465195467,2.6846514423477887
Genesee,2020-07-02T00:00:00Z,238,Western New York,#979797,2.376576957056512,58112,409.55396475770925,2.6123111345515397
Greene,2020-07-02T00:00:00Z,260,Capital,#00ffff,2.4149733479708178,47617,546.0234790095974,2.737211317768976
Hamilton,2020-07-02T00:00:00Z,6,North Country,#dcc8dc,0.7781512503836436,4575,131.14754098360655,2.1177601519811766
Herkimer,2020-07-02T00:00:00Z,164,Mohawk Valley,#ffff00,2.214843848047698,62505,262.37900967922565,2.4189290885347385
Jefferson,2020-07-02T00:00:00Z,90,Tug Hill Seaway,#e978ef,1.954242509439325,114448,78.6383335663358,1.8956343017389696
Lewis,2020-07-02T00:00:00Z,30,Tug Hill Seaway,#e978ef,1.4771212547196624,26719,112.27965118455032,2.0503010547563068
Livingston,2020-07-02T00:00:00Z,130,Finger Lakes,#b4ffaa,2.113943352306837,63907,203.42059555291283,2.308394921458735
Madison,2020-07-02T00:00:00Z,359,Central New York,#d7e1be,2.5550944485783194,71359,503.090009669418,2.7016456932181687
Monroe,2020-07-02T00:00:00Z,3833,Finger Lakes,#b4ffaa,3.5835388192543522,744248,515.0164998763853,2.7118211430032835
Montgomery,2020-07-02T00:00:00Z,119,Mohawk Valley,#ffff00,2.0755469613925306,49426,240.763970379962,2.3815914965562697
Nassau,2020-07-02T00:00:00Z,41910,Long Island,#ff64a5,4.622317660833844,1356564,3089.4229833609033,3.48987737310027
New York,2020-07-02T00:00:00Z,215902,New York City,#c8ff00,5.334256665423349,8443713,2556.9556899908844,3.407723202113473
Niagara,2020-07-02T00:00:00Z,1248,Western New York,#979797,3.0962145853464054,211704,589.5023239995465,2.7704855215569597
Oneida,2020-07-02T00:00:00Z,1672,Central New York,#d7e1be,3.2232362731029975,230782,724.4932447071262,2.860034340393672
Onondaga,2020-07-02T00:00:00Z,2897,Central New York,#d7e1be,3.461948495203762,464242,624.0279854041642,2.7952040666600984
Ontario,2020-07-02T00:00:00Z,268,Finger Lakes,#b4ffaa,2.428134794028789,109472,244.81145863782518,2.3888317415238203
Orange,2020-07-02T00:00:00Z,10744,Mid-Hudson,#91bdf0,4.031165999660659,378227,2840.622166053719,3.4534134716284526
Orleans,2020-07-02T00:00:00Z,282,Western New York,#979797,2.450249108319361,41175,684.8816029143898,2.835615500477569
Oswego,2020-07-02T00:00:00Z,206,Central New York,#d7e1be,2.3138672203691533,119104,172.95808704997313,2.2379408732544994
Otsego,2020-07-02T00:00:00Z,84,Mohawk Valley,#ffff00,1.9242792860618816,60244,139.43297257818207,2.144365486211619
Putnam,2020-07-02T00:00:00Z,1332,Mid-Hudson,#91bdf0,3.1245042248342823,99070,1344.5038861411124,3.128562061841732
Rensselaer,2020-07-02T00:00:00Z,556,Capital,#00ffff,2.7450747915820575,159431,348.7402073624326,2.542502021448195
Rockland,2020-07-02T00:00:00Z,13612,Mid-Hudson,#91bdf0,4.133921940423772,323686,4205.310084464574,3.6237980246301973
St. Lawrence,2020-07-02T00:00:00Z,220,Tug Hill Seaway,#e978ef,2.342422680822206,109558,200.8068785483488,2.3027785852878533
Saratoga,2020-07-02T00:00:00Z,555,Capital,#00ffff,2.7442929831226763,227377,244.08801241990176,2.387546450995529
Schenectady,2020-07-02T00:00:00Z,816,Capital,#00ffff,2.9116901587538613,154883,526.8492991483895,2.7216864066586832
Schoharie,2020-07-02T00:00:00Z,58,Mohawk Valley,#ffff00,1.7634279935629373,31364,184.92539216936615,2.2669965483787373
Schuyler,2020-07-02T00:00:00Z,13,Finger Lakes,#b4ffaa,1.1139433523068367,17992,72.25433526011561,1.858863909879261
Seneca,2020-07-02T00:00:00Z,70,Finger Lakes,#b4ffaa,1.845098040014257,34612,202.24199699526176,2.3058713449712616
Steuben,2020-07-02T00:00:00Z,268,Finger Lakes,#b4ffaa,2.428134794028789,96927,276.49674497302095,2.441690022987638
Suffolk,2020-07-02T00:00:00Z,41491,Long Island,#ff64a5,4.617953902152383,1487901,2788.5591850533065,3.4453798664963227
Sullivan,2020-07-02T00:00:00Z,1453,Mid-Hudson,#91bdf0,3.1622656142980214,75211,1931.898259563096,3.285984251233828
Tioga,2020-07-02T00:00:00Z,143,Southern Tier,#ffd900,2.155336037465062,49045,291.5689672749516,2.4647412985950377
Tompkins,2020-07-02T00:00:00Z,178,Southern Tier,#ffd900,2.250420002308894,102962,172.87931469862667,2.237743032315752
Ulster,2020-07-02T00:00:00Z,1790,Mid-Hudson,#91bdf0,3.2528530309798933,179303,998.3101230877342,2.9992654749785244
Warren,2020-07-02T00:00:00Z,264,North Country,#dcc8dc,2.4216039268698313,64480,409.4292803970223,2.6121788980727967
Washington,2020-07-02T00:00:00Z,246,North Country,#dcc8dc,2.3909351071033793,61828,397.87798408488067,2.5997499088498883
Wayne,2020-07-02T00:00:00Z,176,Finger Lakes,#b4ffaa,2.24551266781415,90856,193.71312846702475,2.287159055038022
