County,date,deaths,cases
Onondaga,2020-04-04T00:00:00Z,4,349
Orange,2020-04-04T00:00:00Z,40,2741
Putnam,2020-04-04T00:00:00Z,7,283
Rockland,2020-04-04T00:00:00Z,69,4872
Schenectady,2020-04-04T00:00:00Z,5,117
Suffolk,2020-04-04T00:00:00Z,124,11370
Sullivan,2020-04-04T00:00:00Z,5,193
Ulster,2020-04-04T00:00:00Z,4,290
Westchester,2020-04-04T00:00:00Z,67,13081
New York State,2020-04-05T00:00:00Z,4029,123160
Albany,2020-04-05T00:00:00Z,8,305
Broome,2020-04-05T00:00:00Z,5,71
Columbia,2020-04-05T00:00:00Z,3,69
Dutchess,2020-04-05T00:00:00Z,8,1077
Erie,2020-04-05T00:00:00Z,27,1059
Herkimer,2020-04-05T00:00:00Z,3,22
Madison,2020-04-05T00:00:00Z,2,89
Monroe,2020-04-05T00:00:00Z,19,548
Nassau,2020-04-05T00:00:00Z,162,14398
New York,2020-04-05T00:00:00Z,3048,67551
Oneida,2020-04-05T00:00:00Z,2,95
Onondaga,2020-04-05T00:00:00Z,5,364
Orange,2020-04-05T00:00:00Z,53,3187
Putnam,2020-04-05T00:00:00Z,7,314
Rockland,2020-04-05T00:00:00Z,69,5326
Schenectady,2020-04-05T00:00:00Z,7,128
Suffolk,2020-04-05T00:00:00Z,175,13129
Sullivan,2020-04-05T00:00:00Z,5,193
Ulster,2020-04-05T00:00:00Z,4,358
Westchester,2020-04-05T00:00:00Z,67,13723
New York State,2020-04-06T00:00:00Z,4698,131815
Albany,2020-04-06T00:00:00Z,8,319
Broome,2020-04-06T00:00:00Z,5,76
Chautauqua,2020-04-06T00:00:00Z,2,18
Columbia,2020-04-06T00:00:00Z,3,70
Dutchess,2020-04-06T00:00:00Z,9,1189
Erie,2020-04-06T00:00:00Z,30,1148
Herkimer,2020-04-06T00:00:00Z,3,25
Madison,2020-04-06T00:00:00Z,2,92
Monroe,2020-04-06T00:00:00Z,26,574
Nassau,2020-04-06T00:00:00Z,162,15616
New York,2020-04-06T00:00:00Z,3485,72181
Oneida,2020-04-06T00:00:00Z,2,100
Onondaga,2020-04-06T00:00:00Z,5,377
Orange,2020-04-06T00:00:00Z,76,3533
Putnam,2020-04-06T00:00:00Z,7,345
Rensselaer,2020-04-06T00:00:00Z,2,74
Rockland,2020-04-06T00:00:00Z,119,5703
Saratoga,2020-04-06T00:00:00Z,4,153
Schenectady,2020-04-06T00:00:00Z,7,138
Steuben,2020-04-06T00:00:00Z,4,75
Suffolk,2020-04-06T00:00:00Z,199,14185
Sullivan,2020-04-06T00:00:00Z,6,253
Ulster,2020-04-06T00:00:00Z,4,382
Westchester,2020-04-06T00:00:00Z,211,14294
New York State,2020-04-07T00:00:00Z,5489,139875
Albany,2020-04-07T00:00:00Z,8,333
Broome,2020-04-07T00:00:00Z,6,86
Chautauqua,2020-04-07T00:00:00Z,2,18
Columbia,2020-04-07T00:00:00Z,4,72
Dutchess,2020-04-07T00:00:00Z,9,1249
Erie,2020-04-07T00:00:00Z,39,1234
Herkimer,2020-04-07T00:00:00Z,3,27
Livingston,2020-04-07T00:00:00Z,2,24
Madison,2020-04-07T00:00:00Z,2,92
Monroe,2020-04-07T00:00:00Z,31,596
Nassau,2020-04-07T00:00:00Z,500,16610
New York,2020-04-07T00:00:00Z,4009,76876
Oneida,2020-04-07T00:00:00Z,2,118
Onondaga,2020-04-07T00:00:00Z,6,397
Orange,2020-04-07T00:00:00Z,93,3829
Oswego,2020-04-07T00:00:00Z,2,34
Putnam,2020-04-07T00:00:00Z,7,402
Rensselaer,2020-04-07T00:00:00Z,3,88
Rockland,2020-04-07T00:00:00Z,135,5990
Saratoga,2020-04-07T00:00:00Z,4,155
Schenectady,2020-04-07T00:00:00Z,7,145
Steuben,2020-04-07T00:00:00Z,5,75
Suffolk,2020-04-07T00:00:00Z,263,15561
Sullivan,2020-04-07T00:00:00Z,7,270
Ulster,2020-04-07T00:00:00Z,5,398
Westchester,2020-04-07T00:00:00Z,211,14294
New York State,2020-04-08T00:00:00Z,6268,151061
Albany,2020-04-08T00:00:00Z,9,342
Broome,2020-04-08T00:00:00Z,6,93
Chautauqua,2020-04-08T00:00:00Z,2,18
Columbia,2020-04-08T00:00:00Z,4,76
Dutchess,2020-04-08T00:00:00Z,10,1395
Erie,2020-04-08T00:00:00Z,45,1335
Herkimer,2020-04-08T00:00:00Z,3,29
Livingston,2020-04-08T00:00:00Z,2,29
Madison,2020-04-08T00:00:00Z,3,92
Monroe,2020-04-08T00:00:00Z,34,651
Nassau,2020-04-08T00:00:00Z,500,18548
New York,2020-04-08T00:00:00Z,4571,81803
Oneida,2020-04-08T00:00:00Z,2,125
Onondaga,2020-04-08T00:00:00Z,6,422
Orange,2020-04-08T00:00:00Z,107,4075
Oswego,2020-04-08T00:00:00Z,2,34
Putnam,2020-04-08T00:00:00Z,7,427
Rensselaer,2020-04-08T00:00:00Z,3,88
Rockland,2020-04-08T00:00:00Z,154,6413
Saratoga,2020-04-08T00:00:00Z,4,162
Schenectady,2020-04-08T00:00:00Z,7,149
Steuben,2020-04-08T00:00:00Z,6,87
Suffolk,2020-04-08T00:00:00Z,323,17008
Sullivan,2020-04-08T00:00:00Z,7,296
Ulster,2020-04-08T00:00:00Z,7,462
Westchester,2020-04-08T00:00:00Z,283,15887
New York State,2020-04-09T00:00:00Z,7067,161779
Albany,2020-04-09T00:00:00Z,11,379
Broome,2020-04-09T00:00:00Z,6,105
Chautauqua,2020-04-09T00:00:00Z,2,22
Columbia,2020-04-09T00:00:00Z,5,83
Delaware,2020-04-09T00:00:00Z,2,37
Dutchess,2020-04-09T00:00:00Z,10,1493
Erie,2020-04-09T00:00:00Z,51,1432
Herkimer,2020-04-09T00:00:00Z,3,32
Livingston,2020-04-09T00:00:00Z,2,29
Madison,2020-04-09T00:00:00Z,3,102
Monroe,2020-04-09T00:00:00Z,40,698
Nassau,2020-04-09T00:00:00Z,633,20140
New York,2020-04-09T00:00:00Z,5150,87028
Niagara,2020-04-09T00:00:00Z,4,155
Oneida,2020-04-09T00:00:00Z,3,158
Onondaga,2020-04-09T00:00:00Z,7,422
Orange,2020-04-09T00:00:00Z,115,4309
Oswego,2020-04-09T00:00:00Z,2,36
Putnam,2020-04-09T00:00:00Z,7,456
Rensselaer,2020-04-09T00:00:00Z,5,102
Rockland,2020-04-09T00:00:00Z,172,6665
Saratoga,2020-04-09T00:00:00Z,4,172
Schenectady,2020-04-09T00:00:00Z,7,167
Steuben,2020-04-09T00:00:00Z,6,92
Suffolk,2020-04-09T00:00:00Z,362,18803
Sullivan,2020-04-09T00:00:00Z,7,296
Ulster,2020-04-09T00:00:00Z,8,462
Westchester,2020-04-09T00:00:00Z,359,17004
New York State,2020-04-10T00:00:00Z,7867,172348
Albany,2020-04-10T00:00:00Z,11,426
Broome,2020-04-10T00:00:00Z,6,112
Chautauqua,2020-04-10T00:00:00Z,2,22
Columbia,2020-04-10T00:00:00Z,5,84
Delaware,2020-04-10T00:00:00Z,2,39
Dutchess,2020-04-10T00:00:00Z,10,1598
Erie,2020-04-10T00:00:00Z,53,1498
Herkimer,2020-04-10T00:00:00Z,3,36
Livingston,2020-04-10T00:00:00Z,2,29
Madison,2020-04-10T00:00:00Z,3,102
Monroe,2020-04-10T00:00:00Z,40,742
Nassau,2020-04-10T00:00:00Z,723,21512
New York,2020-04-10T00:00:00Z,5820,92384
Niagara,2020-04-10T00:00:00Z,4,156
Oneida,2020-04-10T00:00:00Z,3,172
Onondaga,2020-04-10T00:00:00Z,8,456
Orange,2020-04-10T00:00:00Z,115,4532
Oswego,2020-04-10T00:00:00Z,2,36
Putnam,2020-04-10T00:00:00Z,7,487
Rensselaer,2020-04-10T00:00:00Z,5,102
Rockland,2020-04-10T00:00:00Z,200,7122
Saratoga,2020-04-10T00:00:00Z,4,182
Schenectady,2020-04-10T00:00:00Z,7,191
Steuben,2020-04-10T00:00:00Z,6,117
Suffolk,2020-04-10T00:00:00Z,414,20320
Sullivan,2020-04-10T00:00:00Z,7,318
Ulster,2020-04-10T00:00:00Z,8,530
Westchester,2020-04-10T00:00:00Z,389,18077
New York State,2020-04-11T00:00:00Z,8627,181026
Albany,2020-04-11T00:00:00Z,12,446
Broome,2020-04-11T00:00:00Z,6,117
