county,deaths,date
St. Lawrence,1,2020-04-16
Saratoga,6,2020-04-16
Schenectady,11,2020-04-16
Schoharie,1,2020-04-16
Schuyler,0,2020-04-16
Seneca,2,2020-04-16
Steuben,9,2020-04-16
Suffolk,653,2020-04-16
Sullivan,7,2020-04-16
Tioga,0,2020-04-16
Tompkins,0,2020-04-16
Ulster,14,2020-04-16
Warren,3,2020-04-16
Washington,3,2020-04-16
Wayne,1,2020-04-16
Westchester,640,2020-04-16
Wyoming,4,2020-04-16
Yates,0,2020-04-16
New York State,12192,2020-04-17
Albany,16,2020-04-17
Allegany,1,2020-04-17
Bronx,1845,2020-04-17
Broome,6,2020-04-17
Cattaraugus,0,2020-04-17
Cayuga,2,2020-04-17
Chautauqua,1,2020-04-17
Chemung,1,2020-04-17
Chenango,0,2020-04-17
Clinton,3,2020-04-17
Columbia,12,2020-04-17
Cortland,1,2020-04-17
Delaware,1,2020-04-17
Dutchess,40,2020-04-17
Erie,109,2020-04-17
Essex,0,2020-04-17
Franklin,0,2020-04-17
Fulton,2,2020-04-17
Genesee,2,2020-04-17
Greene,0,2020-04-17
Hamilton,0,2020-04-17
Herkimer,3,2020-04-17
Jefferson,0,2020-04-17
Kings,2811,2020-04-17
Lewis,3,2020-04-17
Livingston,1,2020-04-17
Madison,2,2020-04-17
Manhattan,1070,2020-04-17
Monroe,44,2020-04-17
Montgomery,2,2020-04-17
Nassau,1109,2020-04-17
New York,8480,2020-04-17
Niagara,12,2020-04-17
Oneida,3,2020-04-17
Onondaga,11,2020-04-17
Ontario,1,2020-04-17
Orange,141,2020-04-17
Orleans,1,2020-04-17
Oswego,2,2020-04-17
Otsego,2,2020-04-17
Putnam,32,2020-04-17
Queens,2754,2020-04-17
Rensselaer,6,2020-04-17
Richmond,413,2020-04-17
Rockland,250,2020-04-17
St. Lawrence,1,2020-04-17
Saratoga,6,2020-04-17
Schenectady,12,2020-04-17
Schoharie,1,2020-04-17
Schuyler,0,2020-04-17
Seneca,2,2020-04-17
Steuben,9,2020-04-17
Suffolk,693,2020-04-17
Sullivan,7,2020-04-17
Tioga,0,2020-04-17
Tompkins,0,2020-04-17
Ulster,14,2020-04-17
Warren,4,2020-04-17
Washington,3,2020-04-17
Wayne,1,2020-04-17
Westchester,668,2020-04-17
Wyoming,4,2020-04-17
Yates,0,2020-04-17
New York State,12192,2020-04-18
Albany,16,2020-04-18
Allegany,1,2020-04-18
Bronx,1845,2020-04-18
Broome,6,2020-04-18
Cattaraugus,0,2020-04-18
Cayuga,2,2020-04-18
Chautauqua,1,2020-04-18
Chemung,1,2020-04-18
Chenango,0,2020-04-18
Clinton,3,2020-04-18
Columbia,12,2020-04-18
Cortland,1,2020-04-18
Delaware,1,2020-04-18
Dutchess,40,2020-04-18
Erie,109,2020-04-18
Essex,0,2020-04-18
Franklin,0,2020-04-18
Fulton,2,2020-04-18
Genesee,2,2020-04-18
Greene,0,2020-04-18
Hamilton,0,2020-04-18
Herkimer,3,2020-04-18
Jefferson,0,2020-04-18
Kings,2811,2020-04-18
Lewis,3,2020-04-18
Livingston,1,2020-04-18
Madison,2,2020-04-18
Manhattan,1070,2020-04-18
Monroe,44,2020-04-18
Montgomery,2,2020-04-18
Nassau,1109,2020-04-18
New York,8480,2020-04-18
Niagara,12,2020-04-18
Oneida,3,2020-04-18
Onondaga,11,2020-04-18
Ontario,1,2020-04-18
Orange,141,2020-04-18
Orleans,1,2020-04-18
Oswego,2,2020-04-18
Otsego,2,2020-04-18
Putnam,32,2020-04-18
Queens,2754,2020-04-18
Rensselaer,6,2020-04-18
Richmond,413,2020-04-18
Rockland,250,2020-04-18
St. Lawrence,1,2020-04-18
Saratoga,6,2020-04-18
Schenectady,12,2020-04-18
Schoharie,1,2020-04-18
Schuyler,0,2020-04-18
Seneca,2,2020-04-18
Steuben,9,2020-04-18
Suffolk,693,2020-04-18
Sullivan,7,2020-04-18
Tioga,0,2020-04-18
Tompkins,0,2020-04-18
Ulster,14,2020-04-18
Warren,4,2020-04-18
Washington,3,2020-04-18
Wayne,1,2020-04-18
Westchester,668,2020-04-18
Wyoming,4,2020-04-18
Yates,0,2020-04-18
New York State,13869,2020-04-19
Albany,17,2020-04-19
Allegany,2,2020-04-19
Bronx,2081,2020-04-19
Broome,7,2020-04-19
