date,cases,deaths,p_cases,p_deaths,diff,p_diff,d_diff,p.d_diff
2020-04-16T00:00:00Z,666499,33579,203.05263482849992,10.230029489775976,32550,9.916538905036134,2262,0.6891309063960591
2020-04-17T00:00:00Z,697434,35557,212.47715498294824,10.832638213406128,30935,9.424520154448317,1978,0.6026087236301514
2020-04-18T00:00:00Z,725173,37063,220.92799592570697,11.291449506523929,27739,8.450840942758731,1506,0.458811293117801
2020-04-19T00:00:00Z,750294,39586,228.58124857803915,12.06009551750415,25121,7.653252652332185,2523,0.7686460109802216
2020-04-20T00:00:00Z,776787,41404,236.65248867669112,12.613959349435198,26493,8.07124009865197,1818,0.5538638319310483
2020-04-21T00:00:00Z,802274,44161,244.417245268785,13.453894764525355,25487,7.764756592093875,2757,0.8399354150901566
2020-04-22T00:00:00Z,831049,46196,253.18370938529543,14.073868855823314,28775,8.766464116510434,2035,0.6199740912979586
2020-04-23T00:00:00Z,862704,48011,262.82758155238974,14.626818721035004,31655,9.643872167094315,1815,0.5529498652116906
2020-04-24T00:00:00Z,900097,50698,274.219567398043,15.445428246006806,37393,11.391985845653267,2687,0.8186095249718015
2020-04-25T00:00:00Z,934065,52668,284.5681079057625,16.045599725052,33968,10.348540507719463,1970,0.6001714790451942
2020-04-26T00:00:00Z,959548,53803,292.3316458755639,16.391383800542506,25483,7.763537969801405,1135,0.3457840754905064
2020-04-27T00:00:00Z,982311,55185,299.26652068648053,16.812417802593504,22763,6.934874810916654,1382,0.42103400205099817
2020-04-28T00:00:00Z,1006417,57432,306.61054793209655,17.496978875392774,24106,7.344027245616019,2247,0.6845610727992693
2020-04-29T00:00:00Z,1034338,60024,315.116836189163,18.286646120918228,27921,8.506288257066444,2592,0.7896672455254539
2020-04-30T00:00:00Z,1063314,62143,323.9445360758704,18.932211280358217,28976,8.827699886707421,2119,0.6455651594399896
2020-05-01T00:00:00Z,1096406,63956,334.02619830153725,19.48455183442367,33092,10.081662225666832,1813,0.5523405540654522
2020-05-02T00:00:00Z,1126378,65527,343.15733513907156,19.963165739794228,29972,9.131136837534314,1571,0.47861390537055826
2020-05-03T00:00:00Z,1151544,66908,350.82429729219416,20.38389508627211,25166,7.666962153122597,1381,0.42072934647788074
2020-05-04T00:00:00Z,1173202,67903,357.4225276948139,20.687027381525898,21658,6.59823040261972,995,0.30313229525378915
2020-05-05T00:00:00Z,1197324,70380,364.7714294295998,21.441659236142627,24122,7.348901734785898,2477,0.7546318546167292
2020-05-06T00:00:00Z,1220975,72974,371.97683838944647,22.231935792814323,23651,7.205408959846693,2594,0.7902765566716958
2020-05-07T00:00:00Z,1248587,75014,380.38898807441905,22.85343316197788,27612,8.412149684972576,2040,0.6214973691635564
2020-05-08T00:00:00Z,1275974,76680,388.7325902554398,23.360989346794778,27387,8.343602181020742,1666,0.5075561848168988
2020-05-09T00:00:00Z,1301552,78190,396.5250705046875,23.821019262205056,25578,7.792480249247717,1510,0.4600299154102778
2020-05-10T00:00:00Z,1321677,79063,402.65626391371524,24.086983577538284,20125,6.1311934090277305,873,0.2659643153332283
2020-05-11T00:00:00Z,1339458,80003,408.0733446593511,24.37335981627051,17781,5.417080745635872,940,0.2863762387322275
2020-05-12T00:00:00Z,1360931,81656,414.61521378094375,24.876955478636862,21473,6.54186912159264,1653,0.5035956623663509
2020-05-13T00:00:00Z,1381593,83364,420.9100072327366,25.397307197524775,20662,6.2947934517928275,1708,0.5203517188879125
2020-05-14T00:00:00Z,1408360,85147,429.06472295842326,25.940508084396647,26767,8.154715725686685,1783,0.5432008868718725
2020-05-15T00:00:00Z,1433267,86619,436.65277931810795,26.388961088028392,24907,7.5880563596846855,1472,0.44845300363174445
2020-05-16T00:00:00Z,1457778,87765,444.1201920708372,26.73809637482321,24511,7.467412752729274,1146,0.3491352867948194
2020-05-17T00:00:00Z,1476296,88557,449.76180397386213,26.97938358873377,18518,5.641611903024909,792,0.24128721391056018
2020-05-18T00:00:00Z,1497932,89590,456.35333195387324,27.294092795766097,21636,6.591527980011108,1033,0.3147092070323261
2020-05-19T00:00:00Z,1518530,91132,462.62862744898644,27.763871689516197,20598,6.275295495113198,1542,0.4697788937500995
2020-05-20T00:00:00Z,1540613,92635,469.3563364701819,28.22176901591464,22083,6.727709021195437,1503,0.4578973263984416
2020-05-21T00:00:00Z,1566571,93980,477.264585837215,28.631530761760217,25958,7.908249367033136,1345,0.4097617458455787
2020-05-22T00:00:00Z,1589930,95209,484.3810353697108,29.005952461123943,23359,7.116449532495778,1229,0.37442169936372593
2020-05-23T00:00:00Z,1612184,96309,491.1608404939097,29.341073591555276,22254,6.7798051241989015,1100,0.3351211304313324
2020-05-24T00:00:00Z,1632864,96959,497.46111774601866,29.539099714082877,20680,6.30027725210897,650,0.198026122527601
2020-05-25T00:00:00Z,1651945,97633,503.2742507367097,29.744437570365346,19081,5.813132990691031,674,0.20533785628246903
2020-05-26T00:00:00Z,1669906,98299,508.7461694855071,29.947338182062857,17961,5.471918748797407,666,0.20290061169751183
2020-05-27T00:00:00Z,1689952,99694,514.85329510425845,30.37233270656441,20046,6.107125618751354,1395,0.4249945245015532
2020-05-28T00:00:00Z,1712450,100871,521.7074361882984,30.730912316125927,22498,6.854141084039952,1177,0.3585796095615166
2020-05-29T00:00:00Z,1737428,102111,529.3171230936745,31.108685226793973,24978,7.609686905376066,1240,0.3777729106680461
2020-05-30T00:00:00Z,1760413,102958,536.3196314418237,31.366728497226095,22985,7.002508348149263,847,0.25804327043212183
2020-05-31T00:00:00Z,1779257,103550,542.0605610616855,31.547084596512775,18844,5.740929619861731,592,0.18035609928667995
2020-06-01T00:00:00Z,1800589,104200,548.5594737474682,31.745110719040376,21332,6.498912685782784,650,0.198026122527601
2020-06-02T00:00:00Z,1821070,105498,554.7991245405265,32.14055365294934,20481,6.2396507930582175,1298,0.3954429339089671
2020-06-03T00:00:00Z,1840536,106492,560.7295499268685,32.443381292630015,19466,5.9304253863419945,994,0.3028276396806717
2020-06-04T00:00:00Z,1862309,107469,567.362815720397,32.741029787567655,21773,6.633265793528494,977,0.2976484949376399
2020-06-05T00:00:00Z,1891060,108560,576.1219681031525,33.073409017840916,28751,8.759152382755587,1091,0.33237923027326133
2020-06-06T00:00:00Z,1913961,109336,583.0988853831597,33.30982174258156,22901,6.976917280007115,776,0.23641272474064579
2020-06-07T00:00:00Z,1931930,109740,588.573241376542,33.43290259412179,17969,5.474355993382346,404,0.12308085154023019
