NAME,date,deaths
Alabama,2020-03-30T00:00:00Z,10
Arizona,2020-03-30T00:00:00Z,20
California,2020-03-30T00:00:00Z,146
Colorado,2020-03-30T00:00:00Z,51
Connecticut,2020-03-30T00:00:00Z,36
Florida,2020-03-30T00:00:00Z,63
Georgia,2020-03-30T00:00:00Z,87
Illinois,2020-03-30T00:00:00Z,73
Indiana,2020-03-30T00:00:00Z,35
Kentucky,2020-03-30T00:00:00Z,11
Louisiana,2020-03-30T00:00:00Z,185
Maryland,2020-03-30T00:00:00Z,15
Massachusetts,2020-03-30T00:00:00Z,56
Michigan,2020-03-30T00:00:00Z,213
Minnesota,2020-03-30T00:00:00Z,10
Mississippi,2020-03-30T00:00:00Z,16
Missouri,2020-03-30T00:00:00Z,16
Nevada,2020-03-30T00:00:00Z,15
New Jersey,2020-03-30T00:00:00Z,268
New York,2020-03-30T00:00:00Z,2286
Ohio,2020-03-30T00:00:00Z,40
Oklahoma,2020-03-30T00:00:00Z,16
Oregon,2020-03-30T00:00:00Z,16
Pennsylvania,2020-03-30T00:00:00Z,50
South Carolina,2020-03-30T00:00:00Z,18
Tennessee,2020-03-30T00:00:00Z,14
Texas,2020-03-30T00:00:00Z,58
Vermont,2020-03-30T00:00:00Z,12
Virginia,2020-03-30T00:00:00Z,15
Washington,2020-03-30T00:00:00Z,205
Wisconsin,2020-03-30T00:00:00Z,35
United States,2020-03-31T00:00:00Z,5269
Alabama,2020-03-31T00:00:00Z,23
Arizona,2020-03-31T00:00:00Z,25
California,2020-03-31T00:00:00Z,173
Colorado,2020-03-31T00:00:00Z,69
Connecticut,2020-03-31T00:00:00Z,69
Delaware,2020-03-31T00:00:00Z,10
Florida,2020-03-31T00:00:00Z,85
Georgia,2020-03-31T00:00:00Z,111
Illinois,2020-03-31T00:00:00Z,99
Indiana,2020-03-31T00:00:00Z,49
Kentucky,2020-03-31T00:00:00Z,11
Louisiana,2020-03-31T00:00:00Z,239
Maryland,2020-03-31T00:00:00Z,18
Massachusetts,2020-03-31T00:00:00Z,89
Michigan,2020-03-31T00:00:00Z,292
Minnesota,2020-03-31T00:00:00Z,12
Mississippi,2020-03-31T00:00:00Z,20
Missouri,2020-03-31T00:00:00Z,19
Nevada,2020-03-31T00:00:00Z,26
New Jersey,2020-03-31T00:00:00Z,366
New York,2020-03-31T00:00:00Z,2775
North Carolina,2020-03-31T00:00:00Z,12
Ohio,2020-03-31T00:00:00Z,55
Oklahoma,2020-03-31T00:00:00Z,23
Oregon,2020-03-31T00:00:00Z,18
Pennsylvania,2020-03-31T00:00:00Z,63
Rhode Island,2020-03-31T00:00:00Z,11
South Carolina,2020-03-31T00:00:00Z,22
Tennessee,2020-03-31T00:00:00Z,23
Texas,2020-03-31T00:00:00Z,70
Vermont,2020-03-31T00:00:00Z,13
Virginia,2020-03-31T00:00:00Z,27
Washington,2020-03-31T00:00:00Z,225
Wisconsin,2020-03-31T00:00:00Z,43
United States,2020-04-01T00:00:00Z,6448
Alabama,2020-04-01T00:00:00Z,27
Arizona,2020-04-01T00:00:00Z,32
Arkansas,2020-04-01T00:00:00Z,10
California,2020-04-01T00:00:00Z,199
Colorado,2020-04-01T00:00:00Z,79
Connecticut,2020-04-01T00:00:00Z,85
Delaware,2020-04-01T00:00:00Z,11
Florida,2020-04-01T00:00:00Z,87
Georgia,2020-04-01T00:00:00Z,139
Illinois,2020-04-01T00:00:00Z,141
Indiana,2020-04-01T00:00:00Z,65
Kansas,2020-04-01T00:00:00Z,10
Kentucky,2020-04-01T00:00:00Z,18
Louisiana,2020-04-01T00:00:00Z,273
Maryland,2020-04-01T00:00:00Z,31
Massachusetts,2020-04-01T00:00:00Z,122
Michigan,2020-04-01T00:00:00Z,370
Minnesota,2020-04-01T00:00:00Z,17
Mississippi,2020-04-01T00:00:00Z,22
Missouri,2020-04-01T00:00:00Z,24
Nevada,2020-04-01T00:00:00Z,31
New Jersey,2020-04-01T00:00:00Z,476
New York,2020-04-01T00:00:00Z,3411
North Carolina,2020-04-01T00:00:00Z,14
Ohio,2020-04-01T00:00:00Z,65
Oklahoma,2020-04-01T00:00:00Z,30
Oregon,2020-04-01T00:00:00Z,19
Pennsylvania,2020-04-01T00:00:00Z,74
Puerto Rico,2020-04-01T00:00:00Z,11
Rhode Island,2020-04-01T00:00:00Z,11
South Carolina,2020-04-01T00:00:00Z,26
Tennessee,2020-04-01T00:00:00Z,24
Texas,2020-04-01T00:00:00Z,88
Vermont,2020-04-01T00:00:00Z,16
Virginia,2020-04-01T00:00:00Z,34
Washington,2020-04-01T00:00:00Z,234
Wisconsin,2020-04-01T00:00:00Z,54
United States,2020-04-02T00:00:00Z,7951
Alabama,2020-04-02T00:00:00Z,32
Arizona,2020-04-02T00:00:00Z,35
Arkansas,2020-04-02T00:00:00Z,12
California,2020-04-02T00:00:00Z,238
Colorado,2020-04-02T00:00:00Z,97
Connecticut,2020-04-02T00:00:00Z,112
Delaware,2020-04-02T00:00:00Z,12
District of Columbia,2020-04-02T00:00:00Z,12
Florida,2020-04-02T00:00:00Z,164
Georgia,2020-04-02T00:00:00Z,163
Illinois,2020-04-02T00:00:00Z,163
Indiana,2020-04-02T00:00:00Z,78
