CNTY,FIPS,MortalityRate2014
"Muscogee County, Georgia",13215,70.04
"Newton County, Georgia",13217,69.92
"Oconee County, Georgia",13219,51.67
"Oglethorpe County, Georgia",13221,58.68
"Paulding County, Georgia",13223,65.91
"Peach County, Georgia",13225,70.91
"Pickens County, Georgia",13227,75.98
"Pierce County, Georgia",13229,94.88
"Pike County, Georgia",13231,75.78
"Polk County, Georgia",13233,96
"Pulaski County, Georgia",13235,57.88
"Putnam County, Georgia",13237,56.7
"Quitman County, Georgia",13239,57.33
"Rabun County, Georgia",13241,66.9
"Randolph County, Georgia",13243,53.12
"Richmond County, Georgia",13245,66.23
"Rockdale County, Georgia",13247,58.64
"Schley County, Georgia",13249,54.43
"Screven County, Georgia",13251,69.15
"Seminole County, Georgia",13253,73.54
"Spalding County, Georgia",13255,88.04
"Stephens County, Georgia",13257,94.41
"Stewart County, Georgia",13259,60.35
"Sumter County, Georgia",13261,59.24
"Talbot County, Georgia",13263,65.78
"Taliaferro County, Georgia",13265,57.78
"Tattnall County, Georgia",13267,85.94
"Taylor County, Georgia",13269,73.27
"Telfair County, Georgia",13271,78.37
"Terrell County, Georgia",13273,66.54
"Thomas County, Georgia",13275,54.7
"Tift County, Georgia",13277,75.27
"Toombs County, Georgia",13279,93.67
"Towns County, Georgia",13281,56.4
"Treutlen County, Georgia",13283,89.66
"Troup County, Georgia",13285,69.07
"Turner County, Georgia",13287,85.33
"Twiggs County, Georgia",13289,71.45
"Union County, Georgia",13291,54.42
"Upson County, Georgia",13293,91.79
"Walker County, Georgia",13295,89.56
"Walton County, Georgia",13297,73.94
"Ware County, Georgia",13299,94.54
"Warren County, Georgia",13301,67.48
"Washington County, Georgia",13303,63.19
"Wayne County, Georgia",13305,84.32
"Webster County, Georgia",13307,50.98
"Wheeler County, Georgia",13309,75.89
"White County, Georgia",13311,66.33
"Whitfield County, Georgia",13313,72.31
"Wilcox County, Georgia",13315,84.72
"Wilkes County, Georgia",13317,68.28
"Wilkinson County, Georgia",13319,78.92
"Worth County, Georgia",13321,71.99
Hawaii,15000,27.76
"Hawaii County, Hawaii",15001,31.89
"Honolulu County, Hawaii",15003,26.2
"Kalawao County, Hawaii",15005,32.05
"Kauai County, Hawaii",15007,28.39
"Maui County, Hawaii",15009,32.05
Idaho,16000,58.6
"Ada County, Idaho",16001,54.67
"Adams County, Idaho",16003,42.47
"Bannock County, Idaho",16005,65.33
"Bear Lake County, Idaho",16007,60.05
"Benewah County, Idaho",16009,80.37
"Bingham County, Idaho",16011,58.8
"Blaine County, Idaho",16013,36.49
"Boise County, Idaho",16015,50.98
"Bonner County, Idaho",16017,50.02
"Bonneville County, Idaho",16019,63.75
"Boundary County, Idaho",16021,59.33
"Butte County, Idaho",16023,58.38
"Camas County, Idaho",16025,45.31
"Canyon County, Idaho",16027,63.21
"Caribou County, Idaho",16029,59.8
"Cassia County, Idaho",16031,60.98
"Clark County, Idaho",16033,64.39
"Clearwater County, Idaho",16035,69.5
"Custer County, Idaho",16037,48.74
"Elmore County, Idaho",16039,64.41
"Franklin County, Idaho",16041,35.75
"Fremont County, Idaho",16043,42.27
"Gem County, Idaho",16045,66.93
"Gooding County, Idaho",16047,61.05
"Idaho County, Idaho",16049,57.8
"Jefferson County, Idaho",16051,48.15
"Jerome County, Idaho",16053,64.3
"Kootenai County, Idaho",16055,58.6
"Latah County, Idaho",16057,47.69
"Lemhi County, Idaho",16059,65.39
"Lewis County, Idaho",16061,57.4
"Lincoln County, Idaho",16063,62.96
"Madison County, Idaho",16065,34.98
"Minidoka County, Idaho",16067,52.98
"Nez Perce County, Idaho",16069,62.12
"Oneida County, Idaho",16071,45.55
"Owyhee County, Idaho",16073,64.77
"Payette County, Idaho",16075,67.12
"Power County, Idaho",16077,72.89
"Shoshone County, Idaho",16079,74.5
"Teton County, Idaho",16081,32.8
"Twin Falls County, Idaho",16083,71.96
"Valley County, Idaho",16085,39.85
"Washington County, Idaho",16087,58.65
Illinois,17000,50.37
"Adams County, Illinois",17001,69.57
"Alexander County, Illinois",17003,79.29
"Bond County, Illinois",17005,52.48
"Boone County, Illinois",17007,59.37
"Brown County, Illinois",17009,62.37
"Bureau County, Illinois",17011,53.34
"Calhoun County, Illinois",17013,57.31
"Carroll County, Illinois",17015,56.38
"Cass County, Illinois",17017,75.66
"Champaign County, Illinois",17019,51.24
"Christian County, Illinois",17021,54.52
"Clark County, Illinois",17023,64.96
"Clay County, Illinois",17025,75.74
"Clinton County, Illinois",17027,48.88
"Coles County, Illinois",17029,75.94
"Cook County, Illinois",17031,41.02
"Crawford County, Illinois",17033,67.39
"Cumberland County, Illinois",17035,66.3
"De Witt County, Illinois",17037,68.91
"DeKalb County, Illinois",17039,50.08
"Douglas County, Illinois",17041,71.16
"DuPage County, Illinois",17043,40.66
"Edgar County, Illinois",17045,84.37
"Edwards County, Illinois",17047,62.05
"Effingham County, Illinois",17049,55.8
"Fayette County, Illinois",17051,65.12
"Ford County, Illinois",17053,64.39
"Franklin County, Illinois",17055,100.19
"Fulton County, Illinois",17057,65.84
"Gallatin County, Illinois",17059,78.31
"Greene County, Illinois",17061,66.64
"Grundy County, Illinois",17063,56.55
"Hamilton County, Illinois",17065,64.85
"Hancock County, Illinois",17067,58.36
"Hardin County, Illinois",17069,92.33
"Henderson County, Illinois",17071,61.19
"Henry County, Illinois",17073,57.55
"Iroquois County, Illinois",17075,59.96
"Jackson County, Illinois",17077,56.61
"Jasper County, Illinois",17079,54.77
"Jefferson County, Illinois",17081,73.31
"Jersey County, Illinois",17083,55.06
"Jo Daviess County, Illinois",17085,44.05
"Johnson County, Illinois",17087,72.1
"Kane County, Illinois",17089,43.66
"Kankakee County, Illinois",17091,59.09
"Kendall County, Illinois",17093,48.91
"Knox County, Illinois",17095,84.89
"LaSalle County, Illinois",17097,60.1
"Lake County, Illinois",17099,43.74
"Lawrence County, Illinois",17101,75.14
"Lee County, Illinois",17103,59.5
"Livingston County, Illinois",17105,60.53
"Logan County, Illinois",17107,60.92
"Macon County, Illinois",17109,58.29
"Macoupin County, Illinois",17111,60.9
"Madison County, Illinois",17113,68.88
"Marion County, Illinois",17115,82.9
"Marshall County, Illinois",17117,56.02
"Mason County, Illinois",17119,78.89
"Massac County, Illinois",17121,105.11
"McDonough County, Illinois",17123,61.51
"McHenry County, Illinois",17125,57.84
"McLean County, Illinois",17127,58.63
"Menard County, Illinois",17129,59.34
"Mercer County, Illinois",17131,68.76
"Monroe County, Illinois",17133,52.27
"Montgomery County, Illinois",17135,53.98
"Morgan County, Illinois",17137,68.28
"Moultrie County, Illinois",17139,63.92
"Ogle County, Illinois",17141,55.82
"Peoria County, Illinois",17143,58.58
"Perry County, Illinois",17145,71.71
"Piatt County, Illinois",17147,51.2
"Pike County, Illinois",17149,70.11
"Pope County, Illinois",17151,66.96
"Pulaski County, Illinois",17153,81.56
"Putnam County, Illinois",17155,46.71
"Randolph County, Illinois",17157,64.83
"Richland County, Illinois",17159,57.07
"Rock Island County, Illinois",17161,57.41
