CNTY,FIPS,MortalityRate2014
"Greene County, Mississippi",28041,74.81
"Grenada County, Mississippi",28043,74.15
"Hancock County, Mississippi",28045,83.4
"Harrison County, Mississippi",28047,62.13
"Hinds County, Mississippi",28049,51.6
"Holmes County, Mississippi",28051,67.96
"Humphreys County, Mississippi",28053,53.4
"Issaquena County, Mississippi",28055,54.69
"Itawamba County, Mississippi",28057,100.03
"Jackson County, Mississippi",28059,74.09
"Jasper County, Mississippi",28061,57.57
"Jefferson County, Mississippi",28063,56.11
"Jefferson Davis County, Mississippi",28065,65.23
"Jones County, Mississippi",28067,70.81
"Kemper County, Mississippi",28069,46.45
"Lafayette County, Mississippi",28071,70.96
"Lamar County, Mississippi",28073,70.77
"Lauderdale County, Mississippi",28075,71.89
"Lawrence County, Mississippi",28077,74.84
"Leake County, Mississippi",28079,83.22
"Lee County, Mississippi",28081,80.79
"Leflore County, Mississippi",28083,76.14
"Lincoln County, Mississippi",28085,92.54
"Lowndes County, Mississippi",28087,73.44
"Madison County, Mississippi",28089,73.23
"Marion County, Mississippi",28091,74.87
"Marshall County, Mississippi",28093,76.31
"Monroe County, Mississippi",28095,72.31
"Montgomery County, Mississippi",28097,69.68
"Neshoba County, Mississippi",28099,59.8
"Newton County, Mississippi",28101,75.32
"Noxubee County, Mississippi",28103,52.42
"Oktibbeha County, Mississippi",28105,48.07
"Panola County, Mississippi",28107,75.37
"Pearl River County, Mississippi",28109,77.66
"Perry County, Mississippi",28111,91.2
"Pike County, Mississippi",28113,79.19
"Pontotoc County, Mississippi",28115,87.21
"Prentiss County, Mississippi",28117,98.97
"Quitman County, Mississippi",28119,66.74
"Rankin County, Mississippi",28121,58.97
"Scott County, Mississippi",28123,64.62
"Sharkey County, Mississippi",28125,69.94
"Simpson County, Mississippi",28127,82.01
"Smith County, Mississippi",28129,74.42
"Stone County, Mississippi",28131,91.75
"Sunflower County, Mississippi",28133,63.56
"Tallahatchie County, Mississippi",28135,61.45
"Tate County, Mississippi",28137,81.64
"Tippah County, Mississippi",28139,86.9
"Tishomingo County, Mississippi",28141,88.43
"Tunica County, Mississippi",28143,66.2
"Union County, Mississippi",28145,76.21
"Walthall County, Mississippi",28147,61.44
"Warren County, Mississippi",28149,73.68
"Washington County, Mississippi",28151,72.37
"Wayne County, Mississippi",28153,64.65
"Webster County, Mississippi",28155,73.4
"Wilkinson County, Mississippi",28157,67.41
"Winston County, Mississippi",28159,55.87
"Yalobusha County, Mississippi",28161,74.8
"Yazoo County, Mississippi",28163,62.03
Missouri,29000,63.11
"Adair County, Missouri",29001,76.12
"Andrew County, Missouri",29003,65.8
"Atchison County, Missouri",29005,70.82
"Audrain County, Missouri",29007,95.98
"Barry County, Missouri",29009,63.59
"Barton County, Missouri",29011,57.28
"Bates County, Missouri",29013,70.24
"Benton County, Missouri",29015,78.66
"Bollinger County, Missouri",29017,73.49
"Boone County, Missouri",29019,52.75
"Buchanan County, Missouri",29021,95.68
"Butler County, Missouri",29023,84.83
"Caldwell County, Missouri",29025,75.05
"Callaway County, Missouri",29027,71.18
"Camden County, Missouri",29029,57.47
"Cape Girardeau County, Missouri",29031,59.79
"Carroll County, Missouri",29033,58.78
"Carter County, Missouri",29035,100.72
"Cass County, Missouri",29037,69.15
"Cedar County, Missouri",29039,69.82
"Chariton County, Missouri",29041,55.95
"Christian County, Missouri",29043,56.78
"Clark County, Missouri",29045,87.19
"Clay County, Missouri",29047,66.37
"Clinton County, Missouri",29049,101.23
"Cole County, Missouri",29051,66.8
"Cooper County, Missouri",29053,57.89
"Crawford County, Missouri",29055,57.84
"Dade County, Missouri",29057,67.51
"Dallas County, Missouri",29059,73.33
"Daviess County, Missouri",29061,75.37
"DeKalb County, Missouri",29063,79.54
"Dent County, Missouri",29065,77.44
"Douglas County, Missouri",29067,78.76
"Dunklin County, Missouri",29069,113.95
"Franklin County, Missouri",29071,65.06
"Gasconade County, Missouri",29073,58.75
"Gentry County, Missouri",29075,78.08
"Greene County, Missouri",29077,62.31
"Grundy County, Missouri",29079,64.6
"Harrison County, Missouri",29081,66.68
"Henry County, Missouri",29083,72.57
"Hickory County, Missouri",29085,65.96
"Holt County, Missouri",29087,71.63
"Howard County, Missouri",29089,51.62
"Howell County, Missouri",29091,76.99
"Iron County, Missouri",29093,113.66
"Jackson County, Missouri",29095,62.42
"Jasper County, Missouri",29097,81.01
"Jefferson County, Missouri",29099,79.17
"Johnson County, Missouri",29101,64.67
"Knox County, Missouri",29103,76.87
"Laclede County, Missouri",29105,75.47
"Lafayette County, Missouri",29107,68.3
"Lawrence County, Missouri",29109,72.53
"Lewis County, Missouri",29111,59.35
"Lincoln County, Missouri",29113,59.69
"Linn County, Missouri",29115,77.09
"Livingston County, Missouri",29117,71.19
"Macon County, Missouri",29119,62.42
"Madison County, Missouri",29121,83.02
"Maries County, Missouri",29123,61.16
"Marion County, Missouri",29125,79.57
"McDonald County, Missouri",29127,81.86
"Mercer County, Missouri",29129,60.68
"Miller County, Missouri",29131,74.48
"Mississippi County, Missouri",29133,77.75
"Moniteau County, Missouri",29135,69.29
"Monroe County, Missouri",29137,64.43
"Montgomery County, Missouri",29139,78.12
"Morgan County, Missouri",29141,72.17
"New Madrid County, Missouri",29143,86.36
"Newton County, Missouri",29145,66.79
"Nodaway County, Missouri",29147,61.06
"Oregon County, Missouri",29149,63.53
"Osage County, Missouri",29151,55.6
"Ozark County, Missouri",29153,68.89
"Pemiscot County, Missouri",29155,82.6
"Perry County, Missouri",29157,53.4
"Pettis County, Missouri",29159,68.44
"Phelps County, Missouri",29161,69.07
"Pike County, Missouri",29163,80.72
"Platte County, Missouri",29165,60.45
"Polk County, Missouri",29167,74.02
"Pulaski County, Missouri",29169,77.25
"Putnam County, Missouri",29171,78.36
"Ralls County, Missouri",29173,67.81
"Randolph County, Missouri",29175,81.39
"Ray County, Missouri",29177,81.35
"Reynolds County, Missouri",29179,95.8
"Ripley County, Missouri",29181,82.47
"Saint Charles County, Missouri",29183,50.19
"Saint Clair County, Missouri",29185,65.92
"Saint Francois County, Missouri",29186,88.69
"Saint Louis City, Missouri",29187,57.21
"Saint Louis County, Missouri",29189,43.64
"Sainte Genevieve County, Missouri",29195,49.96
"Saline County, Missouri",29197,62.52
"Schuyler County, Missouri",29199,69.46
"Scotland County, Missouri",29201,68.03
"Scott County, Missouri",29203,84.22
"Shannon County, Missouri",29205,71.18
"Shelby County, Missouri",29207,61.43
"Stoddard County, Missouri",29209,91.82
"Stone County, Missouri",29211,55.04
"Sullivan County, Missouri",29213,73.54
"Taney County, Missouri",29215,54.99
"Texas County, Missouri",29217,67.1
"Vernon County, Missouri",29219,66.71
"Warren County, Missouri",29221,55.98
"Washington County, Missouri",29223,73.38
"Wayne County, Missouri",29225,103.99
"Webster County, Missouri",29227,73.41
"Worth County, Missouri",29229,61.53
"Wright County, Missouri",29510,84.39
Montana,30000,65.52
"Beaverhead County, Montana",30001,65.26
"Big Horn County, Montana",30003,82.58
"Blaine County, Montana",30005,68.27
"Broadwater County, Montana",30007,47.71
"Carbon County, Montana",30009,55.01
"Carter County, Montana",30011,67.62
"Cascade County, Montana",30013,72.24
"Chouteau County, Montana",30015,62.16
"Custer County, Montana",30017,77.58
"Daniels County, Montana",30019,58.5
"Dawson County, Montana",30021,55.64
"Deer Lodge County, Montana",30023,86.55
"Fallon County, Montana",30025,53.73
"Fergus County, Montana",30027,67.79
"Flathead County, Montana",30029,65.19
"Gallatin County, Montana",30031,42.97
"Garfield County, Montana",30033,55.19
"Glacier County, Montana",30035,89.09
"Golden Valley County, Montana",30037,56.93
"Granite County, Montana",30039,61.55
"Hill County, Montana",30041,69.45
"Jefferson County, Montana",30043,70.68
"Judith Basin County, Montana",30045,41.21
"Lake County, Montana",30047,55.04
"Lewis and Clark County, Montana",30049,68.62
"Liberty County, Montana",30051,48.25
"Lincoln County, Montana",30053,75.15
"Madison County, Montana",30055,46.95
"McCone County, Montana",30057,54.92
"Meagher County, Montana",30059,58.09
"Mineral County, Montana",30061,75.12
"Missoula County, Montana",30063,63.2
"Musselshell County, Montana",30065,90.34
"Park County, Montana",30067,51.52
"Petroleum County, Montana",30069,63.3
"Phillips County, Montana",30071,76.24
"Pondera County, Montana",30073,61.42
"Powder River County, Montana",30075,58.68
"Powell County, Montana",30077,71.62
"Prairie County, Montana",30079,57.77
"Ravalli County, Montana",30081,59.05
"Richland County, Montana",30083,68.03
"Roosevelt County, Montana",30085,72.76
"Rosebud County, Montana",30087,66.48
"Sanders County, Montana",30089,57.95
"Sheridan County, Montana",30091,60.28
"Silver Bow County, Montana",30093,93.72
"Stillwater County, Montana",30095,61.98
"Sweet Grass County, Montana",30097,50.99
"Teton County, Montana",30099,55.64
"Toole County, Montana",30101,78
"Treasure County, Montana",30103,51.88
"Valley County, Montana",30105,58.09
"Wheatland County, Montana",30107,50.13
"Wibaux County, Montana",30109,67
"Yellowstone County, Montana",30111,70.53
Nebraska,31000,63.72
"Adams County, Nebraska",31001,57.23
"Antelope County, Nebraska",31003,46.49
"Arthur County, Nebraska",31005,56.15
"Banner County, Nebraska",31007,50.98
"Blaine County, Nebraska",31009,58.65
"Boone County, Nebraska",31011,47.31
"Box Butte County, Nebraska",31013,65.38
"Boyd County, Nebraska",31015,42.48
"Brown County, Nebraska",31017,60.29
"Buffalo County, Nebraska",31019,66.04
"Burt County, Nebraska",31021,61.28
"Butler County, Nebraska",31023,47.43
"Cass County, Nebraska",31025,67.6
"Cedar County, Nebraska",31027,48.6
"Chase County, Nebraska",31029,64.83
"Cherry County, Nebraska",31031,57.66
"Cheyenne County, Nebraska",31033,68.42
"Clay County, Nebraska",31035,64.47
"Colfax County, Nebraska",31037,46.87
"Cuming County, Nebraska",31039,41.61
"Custer County, Nebraska",31041,63.6
"Dakota County, Nebraska",31043,73.38
"Dawes County, Nebraska",31045,63.43
"Dawson County, Nebraska",31047,71.18
"Deuel County, Nebraska",31049,53.18
"Dixon County, Nebraska",31051,50.2
"Dodge County, Nebraska",31053,68.19
"Douglas County, Nebraska",31055,67.34
"Dundy County, Nebraska",31057,63.43
"Fillmore County, Nebraska",31059,56.85
"Franklin County, Nebraska",31061,66
"Frontier County, Nebraska",31063,46.19
"Furnas County, Nebraska",31065,73.29
"Gage County, Nebraska",31067,65.96
"Garden County, Nebraska",31069,86.61
"Garfield County, Nebraska",31071,88.23
"Gosper County, Nebraska",31073,64.4
"Grant County, Nebraska",31075,54.65
"Greeley County, Nebraska",31077,63.27
"Hall County, Nebraska",31079,80.95
"Hamilton County, Nebraska",31081,53.38
"Harlan County, Nebraska",31083,57.83
"Hayes County, Nebraska",31085,40.68
"Hitchcock County, Nebraska",31087,54.79
"Holt County, Nebraska",31089,52.06
"Hooker County, Nebraska",31091,68.29
"Howard County, Nebraska",31093,59.41
"Jefferson County, Nebraska",31095,59.36
"Johnson County, Nebraska",31097,59.22
"Kearney County, Nebraska",31099,61.14
"Keith County, Nebraska",31101,62.7
"Keya Paha County, Nebraska",31103,45.97
"Kimball County, Nebraska",31105,68.88
"Knox County, Nebraska",31107,48.54
"Lancaster County, Nebraska",31109,64.99
"Lincoln County, Nebraska",31111,66.42
"Logan County, Nebraska",31113,61.37
"Loup County, Nebraska",31115,46.9
"Madison County, Nebraska",31117,57.19
"McPherson County, Nebraska",31119,48.35
"Merrick County, Nebraska",31121,61.28
"Morrill County, Nebraska",31123,80.42
"Nance County, Nebraska",31125,85.23
"Nemaha County, Nebraska",31127,71.65
"Nuckolls County, Nebraska",31129,59.8
"Otoe County, Nebraska",31131,65.52
"Pawnee County, Nebraska",31133,63.68
"Perkins County, Nebraska",31135,54.97
"Phelps County, Nebraska",31137,67.84
"Pierce County, Nebraska",31139,55.6
"Platte County, Nebraska",31141,53.27
"Polk County, Nebraska",31143,47.83
"Red Willow County, Nebraska",31145,63.92
"Richardson County, Nebraska",31147,80.96
"Rock County, Nebraska",31149,52.92
"Saline County, Nebraska",31151,59.85
"Sarpy County, Nebraska",31153,61.61
"Saunders County, Nebraska",31155,53.49
"Scotts Bluff County, Nebraska",31157,75.99
"Seward County, Nebraska",31159,45.28
"Sheridan County, Nebraska",31161,64.64
"Sherman County, Nebraska",31163,59.61
"Sioux County, Nebraska",31165,41.24
"Stanton County, Nebraska",31167,44.92
"Thayer County, Nebraska",31169,56.6
"Thomas County, Nebraska",31171,59.73
"Thurston County, Nebraska",31173,66.52
"Valley County, Nebraska",31175,68.37
"Washington County, Nebraska",31177,55.14
"Wayne County, Nebraska",31179,47.37
"Webster County, Nebraska",31181,69.8
"Wheeler County, Nebraska",31183,54.72
"York County, Nebraska",31185,47.31
Nevada,32000,64.76
"Carson City, Nevada",32001,74.38
"Churchill County, Nevada",32003,88.11
"Clark County, Nevada",32005,63.75
"Douglas County, Nevada",32007,41.91
"Elko County, Nevada",32009,71.67
"Esmeralda County, Nevada",32011,63.06
"Eureka County, Nevada",32013,58.42
"Humboldt County, Nevada",32015,88.78
"Lander County, Nevada",32017,71.21
"Lincoln County, Nevada",32019,66.85
"Lyon County, Nevada",32021,76.02
"Mineral County, Nevada",32023,93.66
"Nye County, Nevada",32027,93.02
"Pershing County, Nevada",32029,86.72
"Storey County, Nevada",32031,35.98
"Washoe County, Nevada",32033,61.89
"White Pine County, Nevada",32510,67.71
New Hampshire,33000,55.39
"Belknap County, New Hampshire",33001,59.72
"Carroll County, New Hampshire",33003,45.19
"Cheshire County, New Hampshire",33005,64.46
"Coos County, New Hampshire",33007,62.77
"Grafton County, New Hampshire",33009,48.25
"Hillsborough County, New Hampshire",33011,57.01
"Merrimack County, New Hampshire",33013,57
"Rockingham County, New Hampshire",33015,51.91
"Strafford County, New Hampshire",33017,59.4
"Sullivan County, New Hampshire",33019,52.29
New Jersey,34000,40.01
"Atlantic County, New Jersey",34001,50.72
"Bergen County, New Jersey",34003,29.49
"Burlington County, New Jersey",34005,45.47
"Camden County, New Jersey",34007,48.33
"Cape May County, New Jersey",34009,50.63
"Cumberland County, New Jersey",34011,56
"Essex County, New Jersey",34013,33.96
"Gloucester County, New Jersey",34015,56.46
"Hudson County, New Jersey",34017,34.89
"Hunterdon County, New Jersey",34019,39.66
"Mercer County, New Jersey",34021,39.97
"Middlesex County, New Jersey",34023,35.07
"Monmouth County, New Jersey",34025,44.08
"Morris County, New Jersey",34027,34.49
"Ocean County, New Jersey",34029,43.02
"Passaic County, New Jersey",34031,40.21
"Salem County, New Jersey",34033,55.91
"Somerset County, New Jersey",34035,37
"Sussex County, New Jersey",34037,50.67
"Union County, New Jersey",34039,35.43
"Warren County, New Jersey",34041,49.6
New Mexico,35000,55.83
"Bernalillo County, New Mexico",35001,53.24
"Catron County, New Mexico",35003,39.05
"Chaves County, New Mexico",35005,79.42
"Cibola County, New Mexico",35006,66.65
"Colfax County, New Mexico",35007,61.5
"Curry County, New Mexico",35009,80.13
"De Baca County, New Mexico",35011,63.56
"Dona Ana County, New Mexico",35013,45.7
"Eddy County, New Mexico",35015,80.63
"Grant County, New Mexico",35017,54.84
"Guadalupe County, New Mexico",35019,64.16
"Harding County, New Mexico",35021,41.94
"Hidalgo County, New Mexico",35023,52.83
"Lea County, New Mexico",35025,79.23
"Lincoln County, New Mexico",35027,50.44
"Los Alamos County, New Mexico",35028,33.95
"Luna County, New Mexico",35029,52.88
"McKinley County, New Mexico",35031,48.2
"Mora County, New Mexico",35033,39.09
"Otero County, New Mexico",35035,61.16
"Quay County, New Mexico",35037,90.44
"Rio Arriba County, New Mexico",35039,47.58
"Roosevelt County, New Mexico",35041,73
"San Juan County, New Mexico",35043,65.42
"San Miguel County, New Mexico",35045,56.3
"Sandoval County, New Mexico",35047,49.41
"Santa Fe County, New Mexico",35049,40.47
"Sierra County, New Mexico",35051,88.85
"Socorro County, New Mexico",35053,65.75
"Taos County, New Mexico",35055,39.56
"Torrance County, New Mexico",35057,76.62
"Union County, New Mexico",35059,70.68
"Valencia County, New Mexico",35061,66.65
New York,36000,38.76
"Albany County, New York",36001,47.66
"Allegany County, New York",36003,66.01
"Bronx County, New York",36005,31.58
"Broome County, New York",36007,50.55
"Cattaraugus County, New York",36009,65.61
"Cayuga County, New York",36011,56.42
"Chautauqua County, New York",36013,65.93
"Chemung County, New York",36015,73.86
"Chenango County, New York",36017,60.16
"Clinton County, New York",36019,64.4
"Columbia County, New York",36021,60.48
"Cortland County, New York",36023,71.07
"Delaware County, New York",36025,54.35
"Dutchess County, New York",36027,46.9
"Erie County, New York",36029,48.21
"Essex County, New York",36031,57.62
"Franklin County, New York",36033,65.29
"Fulton County, New York",36035,78.28
"Genesee County, New York",36037,55.39
"Greene County, New York",36039,55.5
"Hamilton County, New York",36041,56.93
"Herkimer County, New York",36043,56.32
"Jefferson County, New York",36045,62.39
"Kings County, New York",36047,23.05
"Lewis County, New York",36049,58.66
"Livingston County, New York",36051,60.26
"Madison County, New York",36053,66.92
"Monroe County, New York",36055,37.67
"Montgomery County, New York",36057,55.88
"Nassau County, New York",36059,29.03
"New York County, New York",36061,23.47
"Niagara County, New York",36063,58.82
"Oneida County, New York",36065,56.04
"Onondaga County, New York",36067,52.16
"Ontario County, New York",36069,56.53
"Orange County, New York",36071,52.02
"Orleans County, New York",36073,62
"Oswego County, New York",36075,71.86
"Otsego County, New York",36077,61.86
"Putnam County, New York",36079,35.42
"Queens County, New York",36081,24.13
"Rensselaer County, New York",36083,71.77
"Richmond County, New York",36085,34.76
"Rockland County, New York",36087,33.58
"Saint Lawrence County, New York",36089,82.2
"Saratoga County, New York",36091,51.64
"Schenectady County, New York",36093,55.44
"Schoharie County, New York",36095,62.74
"Schuyler County, New York",36097,64.04
"Seneca County, New York",36099,64.02
"Steuben County, New York",36101,67.24
"Suffolk County, New York",36103,38.59
"Sullivan County, New York",36105,65.42
"Tioga County, New York",36107,58.42
"Tompkins County, New York",36109,45.49
"Ulster County, New York",36111,52.25
"Warren County, New York",36113,61.39
"Washington County, New York",36115,65.34
"Wayne County, New York",36117,63.31
"Westchester County, New York",36119,31.82
"Wyoming County, New York",36121,62.29
"Yates County, New York",36123,66.05
North Carolina,37000,60.34
"Alamance County, North Carolina",37001,65.24
"Alexander County, North Carolina",37003,73.09
"Alleghany County, North Carolina",37005,67.62
"Anson County, North Carolina",37007,58.27
"Ashe County, North Carolina",37009,74.41
"Avery County, North Carolina",37011,81.87
"Beaufort County, North Carolina",37013,59.91
"Bertie County, North Carolina",37015,51.06
"Bladen County, North Carolina",37017,68.93
"Brunswick County, North Carolina",37019,62.38
"Buncombe County, North Carolina",37021,62.23
"Burke County, North Carolina",37023,75.22
"Cabarrus County, North Carolina",37025,67.32
"Caldwell County, North Carolina",37027,85.62
"Camden County, North Carolina",37029,55.05
"Carteret County, North Carolina",37031,52.63
"Caswell County, North Carolina",37033,59.31
"Catawba County, North Carolina",37035,80.7
"Chatham County, North Carolina",37037,33.59
"Cherokee County, North Carolina",37039,69.94
"Chowan County, North Carolina",37041,49.24
"Clay County, North Carolina",37043,62.12
"Cleveland County, North Carolina",37045,68.18
"Columbus County, North Carolina",37047,71.97
"Craven County, North Carolina",37049,59.92
"Cumberland County, North Carolina",37051,68.59
"Currituck County, North Carolina",37053,69.74
"Dare County, North Carolina",37055,50.49
"Davidson County, North Carolina",37057,77.15
"Davie County, North Carolina",37059,59.66
"Duplin County, North Carolina",37061,56.09
"Durham County, North Carolina",37063,43.65
"Edgecombe County, North Carolina",37065,50.26
"Forsyth County, North Carolina",37067,60.9
"Franklin County, North Carolina",37069,57.47
"Gaston County, North Carolina",37071,93.99
"Gates County, North Carolina",37073,60.5
"Graham County, North Carolina",37075,80.13
"Granville County, North Carolina",37077,55.41
"Greene County, North Carolina",37079,57.72
"Guilford County, North Carolina",37081,53.42
"Halifax County, North Carolina",37083,65.56
"Harnett County, North Carolina",37085,73.46
"Haywood County, North Carolina",37087,67.54
"Henderson County, North Carolina",37089,55.4
"Hertford County, North Carolina",37091,51.85
"Hoke County, North Carolina",37093,70.8
"Hyde County, North Carolina",37095,52.2
"Iredell County, North Carolina",37097,72.89
"Jackson County, North Carolina",37099,64.03
"Johnston County, North Carolina",37101,58.87
"Jones County, North Carolina",37103,66.1
"Lee County, North Carolina",37105,62.63
"Lenoir County, North Carolina",37107,66.42
"Lincoln County, North Carolina",37109,76.96
"Macon County, North Carolina",37111,58.13
"Madison County, North Carolina",37113,67.43
"Martin County, North Carolina",37115,59.24
"McDowell County, North Carolina",37117,73.53
"Mecklenburg County, North Carolina",37119,45.12
"Mitchell County, North Carolina",37121,93.33
"Montgomery County, North Carolina",37123,67.18
"Moore County, North Carolina",37125,46.23
"Nash County, North Carolina",37127,65.99
"New Hanover County, North Carolina",37129,50.24
"Northampton County, North Carolina",37131,55.26
"Onslow County, North Carolina",37133,70.58
"Orange County, North Carolina",37135,39.95
"Pamlico County, North Carolina",37137,52.54
"Pasquotank County, North Carolina",37139,63.69
"Pender County, North Carolina",37141,61.77
"Perquimans County, North Carolina",37143,41
"Person County, North Carolina",37145,61.38
"Pitt County, North Carolina",37147,51.52
"Polk County, North Carolina",37149,54.24
"Randolph County, North Carolina",37151,77.52
"Richmond County, North Carolina",37153,84.23
"Robeson County, North Carolina",37155,63.08
"Rockingham County, North Carolina",37157,81.5
"Rowan County, North Carolina",37159,73.92
"Rutherford County, North Carolina",37161,76.9
"Sampson County, North Carolina",37163,62.86
"Scotland County, North Carolina",37165,68.61
"Stanly County, North Carolina",37167,62.97
"Stokes County, North Carolina",37169,71.21
"Surry County, North Carolina",37171,75.65
"Swain County, North Carolina",37173,78.24
"Transylvania County, North Carolina",37175,50.25
"Tyrrell County, North Carolina",37177,54.75
"Union County, North Carolina",37179,54.31
"Vance County, North Carolina",37181,67.69
"Wake County, North Carolina",37183,40.6
"Warren County, North Carolina",37185,48.29
"Washington County, North Carolina",37187,52.58
"Watauga County, North Carolina",37189,54.35
"Wayne County, North Carolina",37191,58.22
"Wilkes County, North Carolina",37193,69.37
"Wilson County, North Carolina",37195,53.87
"Yadkin County, North Carolina",37197,75.63
"Yancey County, North Carolina",37199,67.72
North Dakota,38000,48.62
"Adams County, North Dakota",38001,49.88
"Barnes County, North Dakota",38003,45.73
"Benson County, North Dakota",38005,61.72
"Billings County, North Dakota",38007,26.93
"Bottineau County, North Dakota",38009,56.47
"Bowman County, North Dakota",38011,51.27
"Burke County, North Dakota",38013,46.39
"Burleigh County, North Dakota",38015,39.26
"Cass County, North Dakota",38017,47.09
"Cavalier County, North Dakota",38019,49.27
"Dickey County, North Dakota",38021,57.29
"Divide County, North Dakota",38023,47.8
"Dunn County, North Dakota",38025,44.13
"Eddy County, North Dakota",38027,60.56
"Emmons County, North Dakota",38029,35.6
"Foster County, North Dakota",38031,45.92
"Golden Valley County, North Dakota",38033,44.05
"Grand Forks County, North Dakota",38035,50.78
"Grant County, North Dakota",38037,40.77
"Griggs County, North Dakota",38039,51.2
"Hettinger County, North Dakota",38041,43.44
"Kidder County, North Dakota",38043,33.61
"LaMoure County, North Dakota",38045,41.21
"Logan County, North Dakota",38047,37.18
"McHenry County, North Dakota",38049,52.46
"McIntosh County, North Dakota",38051,34.41
"McKenzie County, North Dakota",38053,46.56
"McLean County, North Dakota",38055,53.96
"Mercer County, North Dakota",38057,39.24
"Morton County, North Dakota",38059,43.89
"Mountrail County, North Dakota",38061,56.8
"Nelson County, North Dakota",38063,56.43
"Oliver County, North Dakota",38065,36.5
"Pembina County, North Dakota",38067,47.19
"Pierce County, North Dakota",38069,58.86
"Ramsey County, North Dakota",38071,51.52
"Ransom County, North Dakota",38073,81.8
"Renville County, North Dakota",38075,59.73
"Richland County, North Dakota",38077,40.44
"Rolette County, North Dakota",38079,96.81
"Sargent County, North Dakota",38081,57.1
"Sheridan County, North Dakota",38083,34.86
"Sioux County, North Dakota",38085,76.15
"Slope County, North Dakota",38087,32.49
"Stark County, North Dakota",38089,41.38
"Steele County, North Dakota",38091,35.67
"Stutsman County, North Dakota",38093,47.66
"Towner County, North Dakota",38095,62.02
"Traill County, North Dakota",38097,42.74
"Walsh County, North Dakota",38099,45.02
"Ward County, North Dakota",38101,61.42
"Wells County, North Dakota",38103,43.91
"Williams County, North Dakota",38105,52.33
Ohio,39000,62.92
"Adams County, Ohio",39001,94.86
"Allen County, Ohio",39003,68.74
"Ashland County, Ohio",39005,61.87
"Ashtabula County, Ohio",39007,71.52
"Athens County, Ohio",39009,74.73
"Auglaize County, Ohio",39011,53.38
"Belmont County, Ohio",39013,68.35
"Brown County, Ohio",39015,79.39
"Butler County, Ohio",39017,70.28
"Carroll County, Ohio",39019,71.61
"Champaign County, Ohio",39021,64.42
"Clark County, Ohio",39023,70.69
"Clermont County, Ohio",39025,68.31
"Clinton County, Ohio",39027,74.95
"Columbiana County, Ohio",39029,75.06
"Coshocton County, Ohio",39031,66.66
"Crawford County, Ohio",39033,74.44
"Cuyahoga County, Ohio",39035,48.47
"Darke County, Ohio",39037,52.83
"Defiance County, Ohio",39039,64.96
"Delaware County, Ohio",39041,46.44
"Erie County, Ohio",39043,76.51
"Fairfield County, Ohio",39045,58.52
"Fayette County, Ohio",39047,82.82
"Franklin County, Ohio",39049,65.12
"Fulton County, Ohio",39051,57.78
"Gallia County, Ohio",39053,87.62
"Geauga County, Ohio",39055,45.23
"Greene County, Ohio",39057,53.91
"Guernsey County, Ohio",39059,73.25
"Hamilton County, Ohio",39061,58.56
"Hancock County, Ohio",39063,54.24
"Hardin County, Ohio",39065,59.03
"Harrison County, Ohio",39067,68.98
"Henry County, Ohio",39069,52.42
"Highland County, Ohio",39071,90.39
"Hocking County, Ohio",39073,65.55
"Holmes County, Ohio",39075,42.41
"Huron County, Ohio",39077,73.64
"Jackson County, Ohio",39079,98.15
"Jefferson County, Ohio",39081,80.77
"Knox County, Ohio",39083,60.67
"Lake County, Ohio",39085,54.2
"Lawrence County, Ohio",39087,85.35
"Licking County, Ohio",39089,72.42
"Logan County, Ohio",39091,68.82
"Lorain County, Ohio",39093,69.41
"Lucas County, Ohio",39095,70.47
"Madison County, Ohio",39097,70.74
"Mahoning County, Ohio",39099,58.95
"Marion County, Ohio",39101,69
"Medina County, Ohio",39103,57.41
"Meigs County, Ohio",39105,74.37
"Mercer County, Ohio",39107,41.94
"Miami County, Ohio",39109,63.78
"Monroe County, Ohio",39111,54.39
"Montgomery County, Ohio",39113,60.28
"Morgan County, Ohio",39115,67.36
"Morrow County, Ohio",39117,72.07
"Muskingum County, Ohio",39119,87.58
"Noble County, Ohio",39121,45.7
"Ottawa County, Ohio",39123,55.28
"Paulding County, Ohio",39125,66.17
"Perry County, Ohio",39127,81.49
"Pickaway County, Ohio",39129,71.03
"Pike County, Ohio",39131,86.02
"Portage County, Ohio",39133,62.18
"Preble County, Ohio",39135,64.48
"Putnam County, Ohio",39137,52.4
"Richland County, Ohio",39139,68.67
"Ross County, Ohio",39141,82.07
"Sandusky County, Ohio",39143,66.02
"Scioto County, Ohio",39145,90.18
"Seneca County, Ohio",39147,70.59
"Shelby County, Ohio",39149,65.77
"Stark County, Ohio",39151,60.1
"Summit County, Ohio",39153,65.67
"Trumbull County, Ohio",39155,63.93
"Tuscarawas County, Ohio",39157,62.63
"Union County, Ohio",39159,59.95
"Van Wert County, Ohio",39161,63.64
"Vinton County, Ohio",39163,92.18
"Warren County, Ohio",39165,57.85
"Washington County, Ohio",39167,69.8
"Wayne County, Ohio",39169,63.93
"Williams County, Ohio",39171,72.59
"Wood County, Ohio",39173,57.79
"Wyandot County, Ohio",39175,48.47
Oklahoma,40000,77.49
"Adair County, Oklahoma",40001,76.93
"Alfalfa County, Oklahoma",40003,65.35
"Atoka County, Oklahoma",40005,68.39
"Beaver County, Oklahoma",40007,55.86
"Beckham County, Oklahoma",40009,103.36
"Blaine County, Oklahoma",40011,70.86
